studyid,additional_ref,author_ts,site,year,season,area,area_units,depth,measurement method,area_error,depth_cat,first_year,last_year,duration,num_points,A1,A2,pub_year,journal,title,lat,lon,dom_species,all_species,meadow_lh,meadow_lh_simple,lh_group,lh_group2,lh_group3,notes,a priori trajectory,att_method,driver effect,certainty,primary driver,statistical analysis,other drivers considered,interaction of drivers considered,secondary driver attribution,secondary driver statistical analysis,apriori_cat,none,inferential,visual,descriptive,experiment,tidied_drivers,measurement_cat,waycott_study,study_site,site_groupings,site_duplication,Country,ECOREGION,PROV_CODE,PROVINCE,REALM,ECO_CODE_X,Lat_Zone,absolute_change,lat_zone2,lh,study_site_grouping,min_area,max_area,ten_percent,plus_10,log_area,max_plus_0.1,decade,decade_time_points,num_unique_years,bioregion,bioregion_colours,max_max_area,most_recent,recent_max_area,net_change,net_change_sign,bioregion_levels,bioregion_striptext
6,NA,Calleja et al.,Area A,1984,summer,3.148023229,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,3.148023229,15.37282667,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.439217,-3.754836,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (negative),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area A,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,12.224803441,Temperate,O,66,0.27159889,23.13917239,0.027159889,3.175183118,1.1553653056421482,23.166332279,1980,1,10,Temperate North Atlantic East,#7570B3,NA,NA,NA,12.224803441,gain,Temperate North Atlantic East,"Temperate North
Atlantic East"
6,NA,Calleja et al.,Area B,1984,summer,8.235294118,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,8.235294118,15.64705882,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.449654,-3.764792,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (no effect),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area B,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,7.411764701999999,Temperate,O,66,0.411764706,21,0.0411764706,8.2764705886,2.1134166201081928,21.0411764706,1980,1,10,Temperate North Atlantic East,#7570B3,NA,NA,NA,7.411764701999999,gain,Temperate North Atlantic East,"Temperate North
Atlantic East"
6,NA,Calleja et al.,Area C,1984,summer,14.75903614,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,14.75903614,32.89156627,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.441242,-3.785442,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (positive); rate of change ~ nitrates (no effect); rate of change ~ salinity (positive);  rate of change ~ turbidity (positive); rate of change ~ oxygen (positive),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area C,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,18.13253013,Temperate,O,66,5.060240964,66.62650602,0.5060240964,15.2650602364,2.725566572225567,67.13253011639999,1980,1,10,Temperate North Atlantic East,#7570B3,NA,NA,NA,18.13253013,gain,Temperate North Atlantic East,"Temperate North
Atlantic East"
6,NA,Calleja et al.,Area D,1984,summer,8.260869565,ha,intertidal,remote sensing,NA,intertidal,1984,2003,19,5,8.260869565,19.13043478,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.410061,-3.811139,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (no effect); rate of change ~ temperature (no effect); rate of change ~ nitrates (no effect); rate of change ~ salinity (no effect);  rate of change ~ turbidity (no effect); rate of change ~ oxygen (no effect),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area D,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,10.869565215000002,Temperate,O,66,8.260869565,20.43478261,0.8260869565000001,9.0869565215,2.2068400360093454,21.2608695665,1980,1,5,Temperate North Atlantic East,#7570B3,NA,NA,NA,10.869565215000002,gain,Temperate North Atlantic East,"Temperate North
Atlantic East"
7,NA,Qui et al.,Total area,2008,Jul,4.54,ha,intertidal,gps mapping,NA,intertidal,2008,2013,5,2,4.54,5.26,2017,Ocean Science Journal,Temporal Variation of Intertidal Seagrass in Southern China (2008-2014),21.435315,109.283024,halophila ovalis,"halophila ovalis, zostera japonica, halodule uninervis",C,C,C,C,C,Three transects combined/averaged (SE in extraction file); also has shoot density,none,inferential,no significant effects,p < 0.05,"precipitation, wind speed, visibility, air temperature, salinity, perccent of area dug (for clams/Sipunculus worms)",correlation analysis: percent cover ~ precipitation (no effect); percent cover ~ wind speed (no effect); percent cover ~ visibility (no effect); percent cover ~ air temperature (no effect); percent cover ~ salinity (no effect); percent cover ~ percent of area dug (no effect),none,none,NA,NA,none,FALSE,TRUE,FALSE,FALSE,FALSE,"fishing (clams, worms); turbidity; precipitation; wind speed; temperature",ground mapping,FALSE,7_Total area,7,no,China,Gulf of Tonkin,25,South China Sea,Central Indo-Pacific,112,Tropical,0.7199999999999998,Tropical,C,77,4.54,5.26,0.454,4.994,1.6082371918575815,5.7139999999999995,2000,1,2,Tropical Indo-Pacific,#E6AB02,NA,NA,NA,0.7199999999999998,gain,Tropical Indo-Pacific,Tropical Indo-Pacific
8,NA,Alberts et al.,Roviana Lagoon,2006,NA,174.3,ha,"intertidal, subtidal","satellite imagery, ground truthing",NA,mixed,2006,2014,8,4,174.3,257.5,2017,Environmental Research Letters,"Winners and losers as mangrove, coral and seagrass ecosystems respond to sea-level rise in Solomon Islands",-8.303804,157.182176,none specified,"cymodocea sp., syringodium isoetifolium, halophila sp.",NA,NA,NA,unspecified,NA,saw evidence of change after earthquake in corals and mangroves,none,visual comparison,"""relatively unaffected""",NA,sea level rise,trend after earthquake caused subsidence,none,none,NA,NA,none,FALSE,FALSE,TRUE,FALSE,FALSE,sea level rise,satellite,FALSE,8_Roviana Lagoon,8,no,Solomon Is.,Solomon Archipelago,31,Eastern Coral Triangle,Central Indo-Pacific,135,Tropical,83.19999999999999,Tropical,other,88,174.3,257.5,17.430000000000003,191.73000000000002,5.256088132330301,274.93,2000,2,4,Tropical Indo-Pacific,#E6AB02,NA,NA,NA,83.19999999999999,gain,Tropical Indo-Pacific,Tropical Indo-Pacific
12,NA,Lefcheck et al.,CB7.3E,1984,NA,136.6650026,ha,subtidal,aerial photography,NA,subtidal,1984,2015,31,31,136.6650026,25.1820005,2017,Global Change Biology,"Multiple stressors threaten the imperiled coastal foundation species eelgrass (Zostera marina) in Chesapeake Bay, USA",37.22875,-76.05383,zostera marina,zostera marina,CO,O,CO,CO,O,NA,decrease,inferential,water clarity (positive); temperature (humpshaped); interaction (negative),NA,"water clarity, salinity, total nitogren, total phosphorous, temperature, maximum temperature","general additive model: density weighted cover ~ long,lat + cover + habitat + salinity + secchi + total nitrogen + total phosphorous + temperature + maxt temperature + secchi * temp",none,yes,NA,NA,decrease,FALSE,TRUE,FALSE,FALSE,FALSE,turbidity; salinity; nutrients; nitrogen; phosphorous; temperature,aerial photography,FALSE,12_CB7.3E,12,no,United States - Atlantic,Virginian,5,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,41,Temperate,-111.48300210000001,Temperate,O,1212,14.0715003,251.8695051,1.4071500300000002,138.07215263,4.9277763936662335,253.27665513,1980,5,31,Temperate North Atlantic West,#D95F02,NA,NA,NA,-111.48300210000001,loss,Temperate North Atlantic West,"Temperate North
Atlantic West"
14,NA,Davenport et al.,Nisqually River Delta,2009,July,82.74193548,ha,intertidal,aerial photography,NA,intertidal,2009,2011,2,3,82.74193548,40.16129032,2017,Northwest Science,Comparing automated classification and digitization approaches to detect change in eelgrass bed extent during restoration of a large river delta,47.102,-122.709,zostera marina,zostera marina,CO,O,CO,CO,O,"study used to compare two methods of aerial quanitification, took data from the 'more conservative' measurements from Fig 6, but trend was the same between metric types; data was dense eelgrass - only data presented",increase,descriptive,negative then positive,NA,restoration - dike removal,none,none,none,NA,NA,increase,FALSE,FALSE,FALSE,TRUE,FALSE,restoration (dike removal),aerial photography,FALSE,14_Nisqually River Delta,14,no,United States - Pacific,Puget Trough/Georgia Basin,10,Cold Temperate Northeast Pacific,Temperate Northern Pacific,56,Temperate,-42.580645159999996,Temperate,O,1414,16.4516129,82.74193548,1.64516129,84.38709677,4.435414508042249,84.38709677,2000,1,3,Temperate North Pacific,#1B9E77,NA,NA,NA,-42.580645159999996,loss,Temperate North Pacific,"Temperate
North Pacific"
20,NA,Dadhich et al.,Kuroshima Island,1977,NA,0.098,ha,NA,aerial photography,NA,unspecified,1977,2005,28,2,0.098,9.8,2017,Journal of Coastal Conservation,"Potential impacts of land use change dynamics and submarine groundwater discharge on fringing reefs of Kuroshima Island, Japan",24.239423,124.00912,none specified,none specified,NA,NA,NA,unspecified,NA,"Calculated start area, as a 99.5% increase to 9.8 ha.",none,"visual comparison, descriptive",positive,NA,nutrients/groundwater discharge,none,land use,none,NA,NA,none,FALSE,FALSE,TRUE,TRUE,FALSE,nutrients,aerial photography,FALSE,20_Kuroshima Island,20,no,Japan,South Kuroshio,28,South Kuroshio,Central Indo-Pacific,121,Tropical,9.702,Tropical,other,2020,0.098,9.8,0.009800000000000001,0.10780000000000001,-2.22747762050724,9.809800000000001,1970,1,2,Tropical Indo-Pacific,#E6AB02,NA,NA,NA,9.702,gain,Tropical Indo-Pacific,Tropical Indo-Pacific
23,NA,Hotaling-Hagan et al.,Estero Bay,1999,December,922,ha,subtidal,aerial photography,NA,subtidal,1999,2006,7,4,922,1193,2017,Journal of Environmental Managemenet,A spatial model to improve site selection for seagrass restoration in shallow boating environments,26.418949,-81.866719,"thalassia testudinum, halodule wrightii, syringodium filiforme","thalassia testudinum, halodule wrightii, syringodium filiforme",CO-O-P,O-O-P,COP,O,O,site rankings to identify favourable restoration sites,decrease,visual comparison,negative,NA,"light, boating",none,storms,storms * boating,descriptive,NA,decrease,FALSE,FALSE,TRUE,FALSE,FALSE,light; boating,aerial photography,FALSE,23_Estero Bay,Estero Bay,yes,United States - Atlantic,Floridian,12,Tropical Northwestern Atlantic,Tropical Atlantic,70,Tropical,271,Tropical,O,Estero Bay23,868,1245,86.80000000000001,1008.8,6.916516784650709,1331.8,1990,1,4,Tropical Atlantic,#E7298A,1331.8,2006,TRUE,271,gain,Tropical Atlantic,Tropical Atlantic
