studyid,additional_ref,author_ts,site,year,season,area,area_units,depth,measurement method,area_error,depth_cat,first_year,last_year,duration,num_points,A1,A2,pub_year,journal,title,lat,lon,dom_species,all_species,meadow_lh,meadow_lh_simple,lh_group,lh_group2,lh_group3,notes,a priori trajectory,att_method,driver effect,certainty,primary driver,statistical analysis,other drivers considered,interaction of drivers considered,secondary driver attribution,secondary driver statistical analysis,apriori_cat,none,inferential,visual,descriptive,experiment,tidied_drivers,measurement_cat,waycott_study,study_site,site_groupings,site_duplication,Country,ECOREGION,PROV_CODE,PROVINCE,REALM,ECO_CODE_X,Lat_Zone,absolute_change,lat_zone2,lh,study_site_grouping,min_area,max_area,ten_percent,plus_10,log_area,max_plus_0.1,decade,decade_time_points,num_unique_years,bioregion
6,NA,Calleja et al.,Area A,1984,summer,3.148023229,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,3.148023229,15.37282667,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.439217,-3.754836,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (negative),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area A,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,12.224803441,Temperate,O,66,0.27159889,23.13917239,0.027159889,3.175183118,1.1553653056421482,23.166332279,1980,1,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area A,1990,summer,0.27159889,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,3.148023229,15.37282667,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.439217,-3.754836,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (negative),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area A,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,12.224803441,Temperate,O,66,0.27159889,23.13917239,0.027159889,0.298758779,-1.2081187903941115,23.166332279,1990,2,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area A,1999,summer,0.415420107,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,3.148023229,15.37282667,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.439217,-3.754836,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (negative),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area A,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,12.224803441,Temperate,O,66,0.27159889,23.13917239,0.027159889,0.442579996,-0.8151340489523312,23.166332279,1990,2,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area A,2002,summer,5.161520267,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,3.148023229,15.37282667,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.439217,-3.754836,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (negative),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area A,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,12.224803441,Temperate,O,66,0.27159889,23.13917239,0.027159889,5.188680156,1.646479359634434,23.166332279,2000,3,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area A,2003,summer,3.723308097,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,3.148023229,15.37282667,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.439217,-3.754836,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (negative),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area A,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,12.224803441,Temperate,O,66,0.27159889,23.13917239,0.027159889,3.750467986,1.3218806284625797,23.166332279,2000,3,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area A,2009,summer,5.305341484,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,3.148023229,15.37282667,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.439217,-3.754836,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (negative),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area A,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,12.224803441,Temperate,O,66,0.27159889,23.13917239,0.027159889,5.332501373,1.6738204288410663,23.166332279,2000,3,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area A,2011,summer,13.50315085,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,3.148023229,15.37282667,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.439217,-3.754836,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (negative),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area A,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,12.224803441,Temperate,O,66,0.27159889,23.13917239,0.027159889,13.530310739,2.6049324085856336,23.166332279,2010,4,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area A,2013,summer,23.13917239,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,3.148023229,15.37282667,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.439217,-3.754836,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (negative),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area A,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,12.224803441,Temperate,O,66,0.27159889,23.13917239,0.027159889,23.166332279,3.1427000297984655,23.166332279,2010,4,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area A,2014,summer,11.63347503,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,3.148023229,15.37282667,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.439217,-3.754836,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (negative),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area A,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,12.224803441,Temperate,O,66,0.27159889,23.13917239,0.027159889,11.660634919,2.456218632184275,23.166332279,2010,4,10,Temperate North Atlantic East
6,NA,Calleja et al.,Area A,2015,summer,15.37282667,ha,intertidal,remote sensing,NA,intertidal,1984,2015,31,10,3.148023229,15.37282667,2017,Marine Environmental Research,Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics,43.439217,-3.754836,zostera noltei,"zostera noltei, zostera marina",CO,O,CO,CO,O,cross-correlations (table 5),increase,inferential,chlorophyll a concentration associated with negative rates of change,p < 0.05,"chlorophyll a, temperature, nitrates, salnity, turbidity, oxygen",cross-correlation: rate of change ~ chlorophyll (negative); rate of change ~ temperature (negative); rate of change ~ nitrates (negative); rate of change ~ salinity (negative); rate of change ~ turbidity (negative); rate of change ~ oxygen (negative),none,none,NA,NA,increase,FALSE,TRUE,FALSE,FALSE,FALSE,chlorophyll; temperature; nutrients; salinity; turbidity; oxygen,satellite,FALSE,6_Area A,6,no,Spain,South European Atlantic Shelf,3,Lusitanian,Temperate Northern Atlantic,27,Temperate,12.224803441,Temperate,O,66,0.27159889,23.13917239,0.027159889,15.399986559,2.7343666366269948,23.166332279,2010,4,10,Temperate North Atlantic East
