study_site,decade,year_first,year_last,log_area1_ci_2.5,log_area1_ci_50,log_area1_ci_97.5,log_area2_ci_2.5,log_area2_ci_50,log_area2_ci_97.5,trend_ci_2.5,trend_ci_50,trend_ci_97.5,area_change_ci_2.5,area_change_ci_50,area_change_ci_97.5,est_area1,est_area2,site_groupings,studyid,site,year,area,log_area,max_area,max_plus_0.1,apriori_cat,depth_cat,lh,lat_zone2,duration,lat,lon,dom_species,bioregion,site_duplication,decade_time_points,measurement_cat,tidied_drivers,att_method,bioregion_colours
W19_Izembek.Lagoon,1970,1978,1979.99,9.308573848867306,9.638943841589555,9.95442187003385,9.288358440448278,9.607540181086542,9.897653055642827,-5.33964388810781,-1.6858536420841563,2.106747109732299,-1891.2795125465118,-505.1808371162351,578.390417975042,15351.121950614533,14876.53147008816,Izembek Lagoon,W19,Izembek Lagoon,1978,15067,9.715572380605613,15951,17457.7,none,mixed,O,Temperate,17,55.300261,-162.839289,zostera marina,Temperate North Pacific,yes,1,satellite,NA,none,#1B9E77
W19_Izembek.Lagoon,1980,1980,1989.99,9.28840365030728,9.607503872799018,9.897562754679726,9.577802804187199,9.859591673480553,10.144971371959748,0.23659155491847106,2.665079456809716,5.111965441605839,400.55418858249055,4309.903538617616,9056.92713066276,14875.991338511883,19141.07203220602,Izembek Lagoon,W19,Izembek Lagoon,1978,15067,9.715572380605613,15951,17457.7,none,mixed,O,Temperate,17,55.300261,-162.839289,zostera marina,Temperate North Pacific,yes,1,satellite,NA,none,#1B9E77
W19_Izembek.Lagoon,1990,1990,1995.99,9.577647142441975,9.859854942642176,10.145328998303864,9.486423655042751,9.81598890122823,10.11597531867766,-3.590417809484986,-0.8115402769090507,1.9181768746971357,-4097.016189681218,-918.6065963939727,2288.2557542002232,19146.111949590806,18324.402146977347,Izembek Lagoon,W19,Izembek Lagoon,1978,15067,9.715572380605613,15951,17457.7,none,mixed,O,Temperate,17,55.300261,-162.839289,zostera marina,Temperate North Pacific,yes,1,satellite,NA,none,#1B9E77
W33_Japan,1970,1978,1979.99,10.449807726256894,10.812072240015699,11.155534236926192,10.43733588940602,10.77494311978733,11.129285497067002,-5.339721071608965,-1.6841740973191743,2.106310097600883,-5947.836860303203,-1649.4446934329972,1916.652279237446,49616.17855220332,47807.75385133745,W33,W33,Japan,1978,51500,10.941110569577807,51500,56450,none,mixed,other,Temperate,13,34.003079,132.641968,none specified,Temperate North Pacific,no,1,NA,coastal development (land reclamation),descriptive,#1B9E77
W33_Japan,1980,1980,1989.99,10.437196087420043,10.77497768470125,11.129360792371486,10.679878489489397,11.019838504035999,11.432324018035244,0.23657704430547155,2.6643766567521765,5.115536103278209,1420.9386061959094,13982.403046033593,30668.262230594984,47809.4063507931,61073.815639590415,W33,W33,Japan,1978,51500,10.941110569577807,51500,56450,none,mixed,other,Temperate,13,34.003079,132.641968,none specified,Temperate North Pacific,no,1,NA,coastal development (land reclamation),descriptive,#1B9E77
W33_Japan,1990,1990,1991.99,10.680016133494393,11.01972697682659,11.43252994627168,10.685145685871072,11.028401627418434,11.445299375504321,-2.0934740280047763,0.5715180793897545,3.1178695911936454,-2572.6056466579967,684.6115349556021,4049.921034716388,61067.004627177834,61599.04384586508,W33,W33,Japan,1978,51500,10.941110569577807,51500,56450,none,mixed,other,Temperate,13,34.003079,132.641968,none specified,Temperate North Pacific,no,1,NA,coastal development (land reclamation),descriptive,#1B9E77
W34_Puget.Sound,2000,2000,2004.99,9.736153506794928,9.94328830648002,10.164089677576394,9.712761491516575,9.942882486879792,10.1636379641148,-2.666265992881378,-0.07008647051756078,2.8179870415691246,-2858.9380011499593,-71.42907709507017,2890.774142517097,20812.068348173463,20803.624116449744,W34,W34,Puget Sound,2000,14470,9.675142999429854,20990,22437,none,mixed,O,Temperate,4,47.718578,-122.465731,zostera marina,Temperate North Pacific,no,5,NA,NA,none,#1B9E77
W52_Kaduk.Island,1980,1980,1989.99,6.807039284402747,7.284468346747166,7.766590586411562,4.461043727683306,4.931375279886668,5.423025676353795,-26.248602361064183,-20.990164982068176,-15.315189716389579,-2251.4334132661043,-1317.2894200529372,-753.6805636366429,1457.486049638333,138.5699538251641,W52,W52,Kaduk Island,1980,1360,7.310550158534422,1360,1496,none,unspecified,O,Temperate,10,34.561995,128.537398,zostera marina,Temperate North Pacific,no,1,other,coastal development (land reclamation),descriptive,#1B9E77
W52_Kaduk.Island,1990,1990,1990.99,4.457688585101378,4.928616622607343,5.420538395463979,4.100052378774394,4.619210653038318,5.178737085986129,-32.42358626101921,-26.52763591410573,-19.619704696517136,-52.6687809711596,-36.368818824716165,-24.93841829749538,138.1882136006662,101.41394973421113,W52,W52,Kaduk Island,1980,1360,7.310550158534422,1360,1496,none,unspecified,O,Temperate,10,34.561995,128.537398,zostera marina,Temperate North Pacific,no,1,other,coastal development (land reclamation),descriptive,#1B9E77
W57_Chaik.Bay,2000,2001,2003.99,-2.53250762951838,-2.2339222989284035,-1.966291601773007,-2.535451128158463,-2.2378592996727362,-1.9640354481813576,-2.7229287300691887,-0.11445141154495797,2.7807033939580346,-0.009263618727114743,-3.830012017927639e-4,0.009135457344069122,0.10710749754088388,0.10668664423682862,W57,W57,Chaik Bay,2001,0.1,-2.2164073967529934,0.1,0.109,none,mixed,O,Temperate,2,57.317797,-134.476689,zostera marina,Temperate North Pacific,no,3,ground mapping,NA,none,#1B9E77
